Date,Open,Close,High,Low
2018-01-11 12:00:00,1.34607,1.34847,1.34920,1.34586
2018-01-11 13:00:00,1.34850,1.35250,1.35258,1.34812
2018-01-11 14:00:00,1.35250,1.35414,1.35447,1.35229
2018-01-11 15:00:00,1.35414,1.35357,1.35483,1.35333
2018-01-11 16:00:00,1.35355,1.35423,1.35552,1.35338
2018-01-11 17:00:00,1.35424,1.35453,1.35459,1.35365
2018-01-11 18:00:00,1.35450,1.35344,1.35515,1.35334
2018-01-11 19:00:00,1.35343,1.35396,1.35398,1.35299
2018-01-11 20:00:00,1.35392,1.35360,1.35403,1.35334
2018-01-11 21:00:00,1.35360,1.35421,1.35421,1.35308
2018-01-11 22:00:00,1.35421,1.35400,1.35467,1.35356
2018-01-11 23:00:00,1.35399,1.35418,1.35439,1.35367
2018-01-12 00:00:00,1.35419,1.35588,1.35651,1.35408
2018-01-12 01:00:00,1.35588,1.35474,1.35590,1.35461
2018-01-12 02:00:00,1.35473,1.35474,1.35516,1.35422
2018-01-12 03:00:00,1.35474,1.35497,1.35515,1.35453
2018-01-12 04:00:00,1.35497,1.35497,1.35503,1.35454
2018-01-12 05:00:00,1.35497,1.35437,1.35517,1.35406
2018-01-12 06:00:00,1.35437,1.35430,1.35509,1.35411
2018-01-12 07:00:00,1.35427,1.35458,1.35571,1.35411
2018-01-12 08:00:00,1.35463,1.35913,1.35957,1.35382
2018-01-12 09:00:00,1.35916,1.36126,1.36209,1.35915
2018-01-12 10:00:00,1.36126,1.36141,1.36225,1.36092
2018-01-12 11:00:00,1.36141,1.36399,1.36412,1.36135
2018-01-12 12:00:00,1.36398,1.36324,1.36398,1.36266
2018-01-12 13:00:00,1.36325,1.36574,1.36932,1.36115
2018-01-12 14:00:00,1.36572,1.36725,1.36777,1.36454
2018-01-12 15:00:00,1.36725,1.36893,1.36908,1.36659
2018-01-12 16:00:00,1.36894,1.36884,1.36944,1.36778
2018-01-12 17:00:00,1.36884,1.36921,1.37003,1.36783
2018-01-12 18:00:00,1.36920,1.37184,1.37236,1.36909
2018-01-12 19:00:00,1.37184,1.37363,1.37371,1.37153
2018-01-12 20:00:00,1.37362,1.37322,1.37366,1.37299
2018-01-12 21:00:00,1.37320,1.37328,1.37449,1.37283
2018-01-14 22:00:00,1.37321,1.37406,1.37415,1.37278
2018-01-14 23:00:00,1.37399,1.37320,1.37441,1.37311
2018-01-15 00:00:00,1.37320,1.37382,1.37418,1.37301
2018-01-15 01:00:00,1.37385,1.37422,1.37496,1.37349
2018-01-15 02:00:00,1.37423,1.37327,1.37489,1.37321
2018-01-15 03:00:00,1.37328,1.37412,1.37416,1.37323
2018-01-15 04:00:00,1.37412,1.37435,1.37436,1.37346
2018-01-15 05:00:00,1.37436,1.37478,1.37560,1.37390
2018-01-15 06:00:00,1.37478,1.37417,1.37702,1.37334
